location_id,sensor_description,latitude,longitude,direction_1,direction_2,status
29,St Kilda Rd-Alexandra Gardens,-37.8199817,144.96872865,North,South,A
30,Lonsdale St (South),-37.8112185,144.96656806,East,West,A
37,Lygon St (East),-37.80107122,144.96704554,North,South,A
40,Lonsdale St-Spring St (West),-37.80999341,144.97227587,North,South,A
42,Grattan St-Swanston St (West),-37.80008566,144.96386412,North,South,A
63,231 Bourke St,-37.81333081,144.96675571,East,West,A
67,Flinders Ln -Degraves St (South),-37.81688755,144.96562569,East,West,A
70,Errol Street (East),-37.80456984,144.94946228,North,South,A
71,Westwood Place,-37.81235775,144.97136962,North,South,A
76,Macaulay Rd- Bellair St,-37.79453803,144.93036194,East,West,A
92,Library at The Dock-South side,-37.82016286,144.94039584,NA,NA,A
99,Town Hall Visitor Centre,-37.81462143,144.96623279,NA,NA,A
104,Kathleen Syme Library Main,-37.79863553,144.96548206,NA,NA,A
106,Kathleen Syme Library Cafe,-37.79859459,144.96510921,NA,NA,A
118,114 Flinders Street Car Park Crossing,-37.81632783,144.97090512,North,South,A
130,I-Hub 892 Bourke Street,-37.8204637,144.94126826,East,West,A
131,I-Hub Corner of King Street and Flinders Street (2-6 King),-37.82009057,144.95758725,North,South,A
134,I-Hub Southern Cross Station - Bourke Street Entrance - North,-37.81694221,144.95303935,North,South,A
143,"Mounted on Toilet - Spencer Street, Batman Park",-37.821728,144.95557015,North,South,A
144,narrm ngarrgu Library - Level 1 - Lift 1,-37.80760657,144.95862847,NA,NA,A
145,narrm ngarrgu Library - Level 1 - Lift 2,-37.80763871,144.95850722,NA,NA,A
147,narrm ngarrgu Library - Level 1 - Meeting Room Lift 1,-37.80769805,144.95832131,NA,NA,A
152,narrm ngarrgu Library - Level 2 - Study Area Lifts 1,-37.80776728,144.95843977,NA,NA,A
159,516 Elizeberth Street,-37.80651646,144.96007934,NA,NA,A
162,iHub 489 Elizabeth Street,-37.80740397,144.95987909,North,South,A
166,484 Spencer Street,-37.80896733,144.94931703,North,South,A
167,I-Hub 526 La Trobe Street (Crossing),-37.81304149,144.95155955,North,South,A
179,61-67 Power Street Southbank,-37.82392385,144.96299677,North,South,A
182,163 King Street,-37.81627451,144.95550503,North,South,A
184,124 Elizabeth Street,-37.81512416,144.96371988,North,South,A
187,RMIT Building 22 - 330 Swanston Street,-37.80942561,144.96395473,East,West,A
