poi_id,feature_name,theme,sub_theme,project_category,project_relevance,include_in_mvp,latitude,longitude,valid_coordinate,duplicate_name_flag
POI0201,Riverslide Skate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8207887122448,144.972951789291,True,False
POI0061,Royal Botanic Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8306631583233,144.980850432751,True,False
POI0202,Royal Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.7906174256581,144.953834240647,True,False
POI0124,Sandridge Rail Bridge,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8201763042794,144.96298113724,True,False
POI0091,Shrine of Rembrance Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8320733992876,144.973628364465,True,False
POI0101,Treasury Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8143993575938,144.975952335785,True,False
POI0143,University Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.800410711209,144.960398319302,True,False
POI0024,Westgate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8314918578874,144.908824792698,True,False
POI0175,Wonderland Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",park_and_open_space,high,True,-37.8116945351989,144.936833674975,True,False
POI0204,Yarra Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.820469374101,144.986671109615,True,False
POI0026,Flagstaff Railway Station,Transport,Railway Station,transport_station,high,True,-37.8122356514626,144.956318211113,True,True
POI0120,Flagstaff Railway Station,Transport,Railway Station,transport_station,high,True,-37.8116384403974,144.9561186805,True,True
POI0183,Flemington Bridge Railway Station,Transport,Railway Station,transport_station,high,True,-37.7881645889621,144.939277838304,True,False
POI0094,Flemington Racecourse Railway Station,Transport,Railway Station,transport_station,high,True,-37.7869105822519,144.908190706069,True,False
POI0123,Flinders Street Railway Station,Transport,Railway Station,transport_station,high,True,-37.8179063007545,144.967064817875,True,False
POI0157,Jolimont-MCG Railway Station (East Melbourne) - Train stop,Transport,Railway Station,transport_station,high,True,-37.8165651811668,144.983641003377,True,False
POI0060,Kensington Railway Station,Transport,Railway Station,transport_station,high,True,-37.7939140126373,144.930710207518,True,False
POI0059,Macaulay Railway Station (North Melbourne) - Train stop,Transport,Railway Station,transport_station,high,True,-37.794964001386,144.936190756632,True,False
POI0006,Melbourne Central Railway Station,Transport,Railway Station,transport_station,high,True,-37.8100167030855,144.963789344893,True,True
POI0205,Melbourne Central Railway Station,Transport,Railway Station,transport_station,high,True,-37.8097759325888,144.962670059539,True,True
POI0220,Melbourne Central Railway Station,Transport,Railway Station,transport_station,high,True,-37.8105992402369,144.96169061383,True,True
POI0221,Melbourne Central Railway Station,Transport,Railway Station,transport_station,high,True,-37.8108930047401,144.963100728702,True,True
POI0159,Newmarket Railway Station,Transport,Railway Station,transport_station,high,True,-37.7872726241965,144.929059958114,True,False
POI0077,North Melbourne Railway Station,Transport,Railway Station,transport_station,high,True,-37.8073823625058,144.942429848025,True,False
POI0002,Parliament Railway Station,Transport,Railway Station,transport_station,high,True,-37.8116061787171,144.973017263156,True,True
POI0093,Parliament Railway Station,Transport,Railway Station,transport_station,high,True,-37.8127621113552,144.973433796529,True,True
POI0133,Parliament Railway Station,Transport,Railway Station,transport_station,high,True,-37.8095762219384,144.972330132127,True,True
POI0234,Parliament Railway Station,Transport,Railway Station,transport_station,high,True,-37.8121572789173,144.973742010011,True,True
POI0217,Port of Melbourne,Transport,Transport Terminal,transport_station,high,True,-37.8137384362671,144.91753432375,True,False
POI0232,Richmond Railway Station (Richmond) - Train stop,Transport,Railway Station,transport_station,high,True,-37.8238992659834,144.989400751664,True,False
POI0119,Royal Park Railway Station,Transport,Railway Station,transport_station,high,True,-37.7812684282825,144.951667833921,True,False
POI0235,Showgrounds Railway Station (Flemington),Transport,Railway Station,transport_station,high,True,-37.7834651216244,144.914902626775,True,False
POI0020,South Kensington Railway Station,Transport,Railway Station,transport_station,high,True,-37.7997270537735,144.925837749713,True,False
POI0146,Southern Cross Railway Station,Transport,Railway Station,transport_station,high,True,-37.8181633057171,144.952944748845,True,False
POI0049,ANZ 'Gothic' Bank,Mixed Use,Retail/Office/Carpark,other,low,False,-37.8161580666029,144.961673719242,True,False
POI0126,All Nations Uniting Church,Place of Worship,Church,other,low,False,-37.7959155303946,144.968981110942,True,False
POI0230,Australian Broadcasting Corporation (ABC),Office,Office,other,low,False,-37.823813323734,144.966551401578,True,False
POI0192,Australian Red Cross,Office,Office,other,low,False,-37.7990921023192,144.952635945774,True,False
POI0213,Bishopscourt,Residential Accommodation,Dwelling (House),other,low,False,-37.8132921649416,144.98350690799,True,False
POI0110,Central City Studios,Purpose Built,Film & RV Studio,other,low,False,-37.8142318521296,144.935655305362,True,False
POI0197,Channel 7 - Melbourne Broadcast Centre,Purpose Built,Film & RV Studio,other,low,False,-37.8158572333481,144.94582326909,True,False
POI0187,Christ Church Kensington,Place of Worship,Church,other,low,False,-37.7932109480553,144.92729572288,True,False
POI0084,Church of Christ,Place of Worship,Church,other,low,False,-37.8104524079085,144.96388920294,True,False
POI0222,Collins Street Baptist Church,Place of Worship,Church,other,low,False,-37.8147011904647,144.968072486031,True,False
POI0062,Coronial Services Centre of Victoria,Office,Office,other,low,False,-37.8243437355246,144.96447462898,True,False
POI0184,Council House 2 (CH2),Mixed Use,Retail/Office/Carpark,other,low,False,-37.8142591432011,144.966638432727,True,False
POI0046,Crown Entertainment Complex,Purpose Built,Casino,other,low,False,-37.8235761092516,144.957312880653,True,False
POI0195,DFO South Wharf,Mixed Use,Retail/Office,other,low,False,-37.824887401234,144.949794297819,True,False
POI0242,David Jones,Retail,Department Store,other,low,False,-37.8133127260638,144.964373486798,True,False
POI0005,Donor Tissue Bank of Victoria,Office,Office,other,low,False,-37.8248231859563,144.965169035668,True,False
POI0099,East Melbourne Synagogue,Place of Worship,Synagogue,other,low,False,-37.809113728917,144.97422190954,True,False
POI0081,Eureka Skydeck 88,Leisure/Recreation,Observation Tower/Wheel,other,low,False,-37.8216187583314,144.964622218598,True,False
POI0137,Eureka Tower,Mixed Use,Retail/Residential,other,low,False,-37.8215157539717,144.964456721965,True,False
POI0107,Former Royal Mint,Office,Office,other,low,False,-37.8121838748712,144.957055454136,True,False
POI0072,Freshwater Place,Mixed Use,Retail/Office/Residential/Carpark,other,low,False,-37.8219745489446,144.96246144843,True,False
POI0203,Government House,Residential Accommodation,Dwelling (House),other,low,False,-37.8275635886174,144.976655130464,True,False
POI0170,Greek Orthodox Church,Place of Worship,Church,other,low,False,-37.8088064667555,144.978259089269,True,False
POI0129,Harbour Town,Vacant Land,Current Construction Site,other,low,False,-37.8139256326845,144.938123825625,True,False
POI0086,Holy Rosary,Place of Worship,Church,other,low,False,-37.7948087414394,144.928362125005,True,False
POI0085,Holy Trinity,Place of Worship,Church,other,low,False,-37.8140667110854,144.983197322289,True,False
POI0162,Kraft,Industrial,Industrial (Manufacturing),other,low,False,-37.8262313085528,144.923475698195,True,False
POI0139,Lutheran Trinity Church,Place of Worship,Church,other,low,False,-37.8109757054396,144.975729473552,True,False
POI0167,Melbourne Aquarium,Purpose Built,Aquarium,other,low,False,-37.8209627824685,144.958425696055,True,False
POI0164,Melbourne Central,Mixed Use,Retail/Office/Carpark,other,low,False,-37.8105371797142,144.962749729496,True,False
POI0144,Melbourne General Cemetery,Community Use,Cemetery,other,low,False,-37.7891890023616,144.965785979892,True,False
POI0104,Melbourne International Karting Complex,Vacant Land,Vacant Land - Undeveloped Site,other,low,False,-37.8310746380616,144.913822928701,True,False
POI0102,Melbourne Magistrates Court,Community Use,Government Building,other,low,False,-37.8136147671606,144.956846193891,True,False
POI0130,Melbourne Star Observation Wheel,Leisure/Recreation,Observation Tower/Wheel,other,low,False,-37.8116163666726,144.937588920436,True,False
